Timestep, Average Length, Average Reward, Std
0,105.8,110.16104776831969,8.235017515818843
5243,81.7,52.2346231900719,0.9738477761757154
11105,55.9,28.166784304917407,0.4522621869253026
16105,72.9,42.921926846413236,0.566611706886265
21339,37.2,8.366414661767674,0.1913677126443566
27195,39.6,9.576047719847995,0.20685443748296886
31142,40.3,9.783603274069288,0.14162710408641543
35974,39.2,9.232499856713138,0.17783340889486532
40600,29.9,5.201558322815876,0.1683435736017171
45363,30.6,5.626896425477132,0.22880976349189822
50228,36.8,8.265065469060676,0.19570731956585494
54515,82.7,47.76930284433749,0.5385526352926593
59515,95.7,60.81595077198129,2.086114365056174
65354,252.0,221.9024121307121,17.42535224450449
70287,1000.0,987.8929711883702,0.37017471806336283
75791,289.8,255.39405132537036,0.9719235605972526
80500,786.8,802.8334009755939,201.78866535326065
85411,159.1,195.23570076275783,14.628320936958405
90025,150.9,295.47909145334546,0.8658814527316258
95268,91.9,146.12921740414103,65.78546436348412
99687,122.4,233.83119911039694,3.3860859585092524
103924,165.5,321.33422251920473,49.33171176598552
109428,129.6,293.6170994362221,2.5495172373162966
114335,142.5,298.8347613756333,1.7220583093374513
119129,86.1,153.71225107510602,2.5512335651859575
123897,75.1,132.2307548736085,2.902344627134347
128151,67.9,117.81419623463913,1.8157258817361626
133359,50.7,85.81160736475175,1.149594252932203
138396,43.1,68.75293929556149,11.984575403591203
143291,95.2,199.75759985562266,0.6339844932765497
148452,43.9,73.42457749443834,1.724893739536657
153718,49.5,85.20263504772996,3.649380492403032
158992,58.3,107.19529532088397,2.4454900246017828
164053,70.4,140.48037004280772,2.499241066166903
168901,74.6,151.76040216274637,1.8673332041428716
173724,131.7,323.3947716863491,1.1343734827952783
179160,130.0,320.3693628307778,0.9797415421841745
184254,119.9,291.6870706806723,1.8611706080792283
188844,117.2,285.283087793085,1.7476493466889047
193712,121.2,296.53345686746724,0.7169766765130166
197870,121.9,294.0213722893783,4.073144629199748
202319,116.9,283.8288587024329,1.965629197241105
207238,118.3,285.61125103265186,2.0032583921046734
212030,106.4,242.84437464019857,8.603226308934508
217861,117.5,280.901205017905,1.6630577811242682
