,timestep,mean_reward,reward_stdev
0,5005,-659.1041814867261,1.0617821818386446
1,10010,-426.83798864412313,45.08345822545893
2,15015,-602.4507576547643,88.97095292949976
3,20020,198.96806111939662,28.13705190349605
4,25025,-154.64649054531446,216.5634274044276
5,30030,639.2972678529824,253.63155800368787
6,35035,433.31515765462797,238.7876346023385
7,40040,994.5323802611928,392.09206897186067
8,45045,1229.670844432407,435.94005157630835
9,50050,2094.575369188557,284.78155594621137
10,55055,2103.694001572449,81.46450037639059
11,60060,3078.922370326625,151.88105641087128
12,65065,3356.692116472662,648.7403091937989
13,70070,3382.752204259928,68.27184464309386
14,75075,3809.796723801453,66.0255309308893
15,80080,3992.895653079388,72.55324713433507
16,85085,3894.6011483235966,78.48205857168423
17,90090,3731.2324655105867,800.6694102723409
18,95095,3819.201753678364,43.78826353754655
19,100100,4112.446600096807,48.7649989578977
20,105105,4155.060006073361,37.347494319651716
21,110110,4377.904026870783,64.05879982426463
22,115115,4334.584276391071,22.177107756878318
23,120120,4531.535973062922,36.07495354164842
24,125125,4315.106128517598,22.931812390077084
25,130130,4533.026309672621,50.13029066265115
26,135135,4633.491546449126,63.981126240104935
27,140140,4570.242042366333,39.67714906542086
28,145145,4752.5499677880125,93.00578899419581
29,150150,4904.950324743927,100.87437645646091
30,155155,4342.260473397833,1124.8626974165843
31,160160,5092.016034014606,53.18705026607864
32,165165,4599.345332118202,65.48819253262607
33,170170,4599.718813538742,56.99244269772274
34,175175,4901.945171692644,93.1130790663884
35,180180,4789.417237765413,51.60607902021844
36,185185,4977.040205774001,55.2189006227168
37,190190,4803.907080860019,70.18104391091599
38,195195,4815.74982479718,35.440254097329785
39,200200,5059.220134305861,52.479020211688244
40,205205,5048.157485117719,40.173224404400734
41,210210,5133.8058211315665,54.51510789026687
42,215215,4859.184757936862,50.19596467172744
43,220220,4984.90311751331,29.744914458333174
44,225225,4807.116054784608,48.5570808321695
45,230230,4867.136788428039,52.34251293945695
46,235235,4946.83582582016,58.89270502231503
47,240240,4645.859246073959,49.60178716846338
48,245245,4518.525218221912,36.025200058882646
49,250250,4573.63096876994,37.40997716121984
50,255255,4700.084411576534,26.176260580154796
51,260260,4495.143822656408,29.28646730766685
52,265265,4626.247490061389,31.59698579951569
53,270270,4642.441535361757,27.74696597928129
54,275275,4553.72821245341,36.239906550874494
55,280280,4831.906361350056,58.65495190809099
56,285285,4892.573915525738,37.248052579999616
57,290290,4876.757354582706,27.862600245901646
58,295295,4615.273789842871,20.724873297704946
59,300300,4726.730624079827,41.33767206478111
60,305305,4933.540260331798,44.865506083298015
61,310310,4959.546621966255,23.47998900393955
62,315315,4846.891164357544,33.90105208367035
63,320320,4850.253004469377,53.47219586716324
64,325325,4854.887026155652,40.75822812639331
65,330330,5011.4437297842305,36.177370988293426
66,335335,4849.702925965523,41.53317262716725
67,340340,4738.383333420311,30.04481169926441
68,345345,4813.804928467299,61.92367544329613
69,350350,4893.2115245022605,47.091887511880515
70,355355,4680.971258863585,24.689032042918612
71,360360,4939.375035086361,21.22402606311206
72,365365,4435.503727369747,21.050872117500305
73,370370,4899.949411850117,30.794224309513755
74,375375,4558.9924629154575,28.834918783233146
75,380380,4789.01108570961,22.58282018840401
76,385385,4694.324691928979,39.896086748392
77,390390,4740.73521055842,21.953469827724795
78,395395,4719.834287899623,30.895696418603105
79,400400,4713.752102918702,29.468638900545702
80,405405,4861.978848607588,37.42937870397626
81,410410,4880.741850366413,56.14793688913535
82,415415,4847.779948626332,40.40461661856115
83,420420,4865.202966153925,28.36463295345121
84,425425,5006.953997095115,36.28374693120515
85,430430,5037.957766427116,42.21568045682698
86,435435,4958.492277881787,64.37697099648605
87,440440,4973.839582571451,33.57824550270194
88,445445,4867.646062329675,37.238889961975424
89,450450,4866.944540438964,54.1775726101183
90,455455,4826.387441513156,47.51789913712621
91,460460,4869.034447261837,44.96072521006376
92,465465,4772.676432358432,55.31991219701015
93,470470,4905.177152059071,38.94393828285264
94,475475,4729.306550255339,68.30637147549932
95,480480,4798.1370578829965,44.43583721353085
96,485485,4674.2762923157725,60.654116375816024
97,490490,4594.379729409802,71.68239796261156
98,495495,4663.949515986406,55.5412874959269
99,500500,4478.14061212294,52.79645360837333
100,505505,4566.412282504724,65.04137948930968
101,510510,4610.897343146144,51.97798660971453
102,515515,4546.291085765802,66.28070855079112
103,520520,4452.75025391433,42.83600301693468
104,525525,4462.6802281447135,49.755545200741345
105,530530,4569.119503098054,46.105085201377385
106,535535,4534.071812556839,41.8948754012588
107,540540,4505.868223552425,53.55618673507015
108,545545,4488.0094210095285,32.03476884064851
109,550550,4503.2002719413895,38.92948415309131
110,555555,4485.306509708716,76.34257718108933
