,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
0,1.7769132625793638,1.707085053288945,1.7627405819062072,1.8022871928707305,1.8398633542117113,1.76592422958208,0
1,-14.098063860702565,-13.816977904323782,-13.870647432843436,-14.048484825256306,-14.013076601032722,-13.890708308737672,2000
2,-6.485380379397823,-7.601695535035815,-6.416774207411516,-6.517294864919541,-6.472586484330181,-7.942491799488569,3000
3,-15.855541840170755,-15.050667734472183,-14.815740074881068,-15.482330248767651,-16.463369614028263,-15.713975356677983,4000
4,-11.78888335108369,-11.272812069744122,-11.479476976835166,-11.706377129746064,-11.398747796792144,-11.480887579653194,5000
5,-64.93179640335373,-67.44289450268221,-71.49333228059551,-78.90505935541375,-72.86749156445073,-78.43733226071754,6000
6,760.4227917957171,208.93032319917234,260.02304004911457,54.15876900129327,257.49699628712955,927.0115347885696,7000
7,-15.291079493083494,-13.290613108018228,-13.189957613417675,-14.145974265848004,-12.429762450469424,-13.535717803103426,8000
8,1.0070659468372394,-1.0010637228250785,-2.132792823214118,-5.841226918128074,-3.902471221477232,-6.030230916114844,9000
9,3.7498760429442957,0.028470911467557092,1.4598866812431028,4.99133055285152,7.150370378664257,-7.644323570867271,10000
10,-11.895142765107385,-8.620076146915109,-14.166567277494346,-11.023902689694856,-12.493840417614987,-8.651653566858664,11000
11,184.0507359872998,182.53497373030532,200.47060839026614,240.17077651944112,134.00240103921288,207.03875719096976,12000
12,174.88263050399033,223.9248890020792,187.27646742829717,200.1619274024821,88.00622547166518,291.87022243747543,13000
13,96.88992737476724,131.85013755866015,65.86891715899435,26.97542342049168,265.71673933325013,91.44835203303495,14000
14,-11.964752632502464,-12.726760411485163,-8.383315817420751,-17.243134425546412,-5.538515149725375,-12.490172450616454,15000
15,49.9082531299896,54.26153109921331,42.8221353513696,37.90056314206204,49.585642801428364,39.76920668846478,16000
16,44.82819148655863,38.86406423935564,57.13200008250859,54.804837205443924,33.88358202319354,40.21388483833418,17000
17,91.34261455923372,221.16133440362506,139.17135778325303,147.86484285265777,135.80932950877198,130.96883803590708,18000
18,488.2946105704214,-9.651249805380463,3.3154108782725014,79.94358980274974,-6.163555357459482,-4.3420622387896275,19000
19,14.774079730297146,30.626674583311484,50.87421993079053,58.29451145245731,35.9480380733918,58.49826917052615,20000
20,44.31017057889593,51.50583415774913,27.327362282654548,22.159193063763063,17.17398334186944,37.31246896761742,21000
21,22.85588735306693,28.58796996746453,36.23375919433381,57.811766964686996,31.904432434342436,22.881716791386868,22000
22,60.514760060777654,27.801906771571257,-2.7967667805579994,106.47250167715724,56.90719439185467,43.66252456655126,23000
23,-6.76593924070534,-6.47698148671714,-6.772813095557963,-6.610546666934163,-6.629221565372929,-6.6414263926667605,24000
