,timestep,mean_reward,reward_stdev
0,5005,-946.4067667180603,892.7033706117612
1,10011,-1474.3251018596652,184.90250460225928
2,15020,-182.88758416248436,349.2592356670012
3,20035,-94.02645190937392,51.45712086273713
4,25057,-48.31534836436786,35.17607965136911
5,30091,-224.11635493096767,324.8977714667903
6,35107,-681.068556306861,179.62686275134078
7,40112,-79.28694913565283,49.51671006639823
8,45117,-399.86611974016967,242.49016556666703
9,50124,-127.07320575726814,110.71655543968781
10,55138,-311.71540516191783,401.212938881628
11,60155,-62.788341552539904,138.19354094771612
12,65160,-162.0739879628789,239.4430812208339
13,70173,-118.44725682017187,316.7748539030826
14,75182,-13.834067277806936,232.8022377526825
15,80202,-4.755808722432566,99.9332064873043
16,85240,17.871264698594082,16.197347423298876
17,90263,-71.83702768764665,157.28113361179143
18,95300,-58.50058852132494,185.1828548111673
19,100354,-18.41228654608849,17.471723811454904
20,105450,-32.46337309424573,31.650851054249795
21,110580,-216.10899500637746,532.8314220862507
22,115830,-26.00885125721384,24.22208697708912
23,121062,-35.12111346330159,40.97745825320309
24,126414,-32.14209556917029,21.672140391491645
25,131608,-35.313631629222606,44.01393591403396
26,136870,-17.836503408651012,7.527972891984241
27,142394,-20.05187186339695,5.085584791595354
28,147989,-15.458441808985391,1.5534149982081376
29,153606,-14.25970503202196,1.6738567213444833
30,159248,-15.557185735356006,2.616800952106239
31,164916,-16.272903401632256,2.8072329914452694
32,170568,-17.51921587561042,1.913628032312723
33,176236,-16.51217053306863,3.2427505964847736
34,181903,-15.94416612952821,1.7183999500901728
35,187580,-19.907417508114268,7.608800032587642
36,193245,-18.26993142719838,7.877240131932742
37,198930,-14.833006073914905,1.3115825529674894
38,204609,-16.135342779627372,1.4754681914109358
39,210294,-13.436438754412187,1.5060216884954098
40,215969,-16.21087992804168,2.1989104279050147
41,221653,-17.339810986844153,2.180165960313352
42,227342,-15.597877100143824,1.354336451084001
43,233023,-17.167901744243373,1.8140042898997495
44,238708,-14.758526232593546,1.6042844642543417
45,244391,-16.54564873595463,2.1009889013748926
46,250065,-17.026107233324787,2.044026514148823
47,255743,-15.662507111567328,2.8210624182427995
48,261405,-15.64960433213346,1.643163789087238
49,267087,-14.469356957674329,1.28739119470946
50,272775,-15.140473932233524,2.3207639305163967
51,278462,-16.86624401351143,1.884095159934051
52,284152,-15.609615391259466,2.1162611860382943
53,289840,-15.965793340565572,2.259501072656249
54,295521,-15.221377928624936,2.1268447948679694
55,301203,-14.653472021511107,2.0211054585035164
56,306887,-16.018987615576012,2.4218078911392404
57,312570,-16.31289936140488,2.60547372245233
58,318249,-15.33638312386567,3.0357587650834064
59,323917,-16.671638718147143,3.980779857482821
60,329596,-17.889365492047368,2.6502735706693046
61,335280,-17.11198338551,1.6173112372821408
62,340962,-15.807892347811984,1.8677944458365936
63,346638,-15.115463087428786,1.7816518044330716
64,352327,-15.141577148597467,1.4711134584541885
65,358017,-16.906443166452373,2.7601182619726625
66,363706,-13.432334255031984,1.9803940036451648
67,369394,-16.217719225063668,2.258870902648888
68,375075,-16.661628688229683,1.6332771794758831
69,380756,-14.910985270808544,2.0398500485935918
70,386439,-14.9764138835702,1.6223433640080291
71,392130,-15.435856465840475,1.6469846592081
72,397818,-15.779763067601031,1.3686086998303058
73,403510,-16.21272835168532,2.1876978200044803
74,409200,-15.80804857563452,1.1901709986978628
75,414894,-15.738979309362938,2.7241435591410856
76,420578,-15.343401300498845,1.492003217309216
77,426270,-16.249944899312684,1.6267309429357728
78,431960,-15.360705999968069,2.5915049879657595
79,437647,-15.241433591612148,1.8932839736995195
80,443333,-16.558371189771016,1.3691042745336321
81,449022,-13.918427536705888,1.7961999532727488
82,454691,-14.224639500056524,1.6760992178440273
83,460362,-13.721003814374187,3.0496427354242988
84,466021,-16.492752081225134,2.3882552017428096
85,471688,-15.527032781410856,1.9464860504001844
86,477346,-16.458594248767387,2.60084011077247
87,482991,-15.161161932342026,3.5305386878309326
88,488405,-44.31550676167065,20.47886459864455
89,493466,-176.83516517840062,147.0052818237554
90,498495,-1323.9150679364425,1085.4869579212225
91,503504,-580.4413057383032,498.3341389025042
92,508518,-559.6749794251699,744.7183425286134
93,513532,-717.7410064219201,748.0410816118048
94,518547,-261.9620439553545,201.42276034751262
95,523564,-843.8655848568281,925.9143215779573
96,528577,-1773.7041667739013,872.9456338186444
97,533584,-1449.3973401136893,463.8378233258532
98,538589,-1331.1752773428082,444.23724196345
99,543594,-1001.0114603943266,438.9552162740167
100,548600,-1239.1080070149894,549.445536778746
101,553607,-1297.1817201150086,794.8454082411454
102,558615,-1640.6276331629647,400.3371042940986
103,563623,-1024.8203254505286,756.5913106842714
104,568630,-1160.7929523087646,741.7369049562918
105,573637,-972.1519403886484,623.6454097320843
106,578645,-757.4798357121547,731.3371019765547
107,583655,-1012.8465876141479,709.3684352887584
108,588662,-1206.5981798245596,378.7229187087308
109,593669,-1065.798762781516,201.96556609864865
110,598674,-1099.1699337700602,246.87949142191502
111,603679,-1250.078744376848,596.7869032073588
112,608684,-1376.0976199041568,315.3775010922359
113,613689,-1531.1071164275754,548.8115135007687
114,618695,-1430.7986466966156,278.2601434207523
115,623700,-1445.8119317780688,194.67395336468982
116,628705,-1471.4441793255253,252.27593147951492
117,633710,-1318.7966503455866,222.24448012316762
118,638715,-1880.2531909770828,298.025719252393
119,643720,-2286.142346667858,55.251424405879966
120,648725,-1536.4203824128092,39.13367307324263
121,653730,-1768.0736048606925,308.3231588864588
122,658735,-1931.052982761428,374.53284755041665
123,663740,-1359.164107716218,57.378833232738465
124,668745,-1328.1254996617388,71.65283002399187
125,673750,-1293.9118100825294,122.0134942959893
126,678755,-1186.8636065216776,41.27337191208915
127,683760,-1276.9697958581582,29.455111205925444
128,688765,-1208.1473323211435,37.836858443077816
129,693770,-1378.2895385766608,54.52285697922146
130,698775,-1360.3503317907707,71.80943949776551
131,703780,-1295.5969372838993,318.3432315307545
132,708785,-1350.3553771778165,228.17210656295956
133,713790,-2276.550560434701,120.07689648565834
134,718798,-2269.462548780145,196.17202048948883
135,723803,-2361.568332160901,506.24482269097746
136,728808,-2873.725772470677,83.21425913343404
137,733814,-2313.2596709573622,472.4806156347418
138,738819,-1638.3028697905136,368.8088365574859
139,743824,-1343.2867101496986,64.9813247020753
140,748829,-1606.9647010833542,298.14449645911037
141,753835,-1424.4841721043397,560.765726424191
142,758842,-1166.118698226167,604.8751064316654
143,763849,-1005.6178505917168,559.4696299147055
144,768854,-1150.3612809365065,292.256159683467
145,773861,-1371.4868969518961,615.5165722568651
