,reward_0,reward_1,reward_2,timestep
0,987.2384909551823,993.0905644521714,994.6515808189264,0
1,-1117.3989723371578,-2658.613411155998,-41.653839989992015,6000
2,-230.67222600093294,-181.45123786022555,-242.43883029317317,11000
3,-236.69869862664234,-546.2588170721334,-578.1433674129203,16000
4,-406.97360135667213,20.85928499643294,-335.1194422703413,21000
5,26.172799427175352,26.951849157782732,-38.00223785772421,26000
6,-7.58070345947244,105.43779097233568,62.21790010674716,31000
7,5.082311336248071,25.077260250213325,20.185558999674015,36000
8,9.903424241082831,1411.2397584438067,182.14908966857195,41000
9,151.4739238186623,35.161682714039955,-277.68620298995734,46000
10,2156.3054733957015,695.8538604674266,715.4513408423658,51000
11,2053.4409435406387,1893.2026200699675,2041.0223744840641,56000
12,2475.8272168959074,2367.0518835929415,973.4331598559895,61000
13,2577.250295058641,2463.9993388670373,17.251139238214332,66000
14,2469.55225488915,2532.9649372428344,2492.243018552884,71000
15,2734.1390387846727,1927.8058124668971,1540.5405116682223,76000
16,2275.0991741927987,3365.0704330841095,3152.8751819971876,81000
17,3032.5042147614877,1729.4402754792645,3234.2186633526712,86000
18,1377.5786777377048,2345.951046681538,-343.0844383224936,91000
19,3365.776657912124,1620.5252911857092,3522.1338588346666,96000
20,4123.804187814311,-645.2105739833827,3828.580704651281,101000
21,2871.786737519677,269.4952403126525,1914.3710003841193,106000
22,3466.4480965753323,3497.87001863269,3522.1032230120686,111000
23,4108.878674893551,4145.37207620552,3936.7527303446523,116000
24,3983.409558848817,3888.4126267984457,4119.846248191986,121000
25,3975.2645488411613,3981.145580930878,3918.89017549684,126000
26,3935.66480699271,3942.0600492550493,3818.0865969256593,131000
27,4353.745037822437,4173.9254619600115,2241.091936906343,136000
28,4048.060009770721,4110.218854914325,3894.324453496642,141000
29,4036.9664096708484,4051.5345258403554,2325.9906349733956,146000
30,4131.262178803883,4602.288432251641,4139.160917700746,151000
31,4368.1624255179695,4183.669998432373,4213.1421176859585,156000
32,1645.8553858479488,4476.343793832802,4386.657036642522,161000
