,reward_0,reward_1,reward_2,timestep
0,-1.2161039826808413,-1.6895309465647887,-1.16681584527373,0
1,-941.2040802249601,-742.2618072521745,-973.9084174300284,6000
2,-227.4768356717777,-219.68804321944623,-207.91100079993075,11000
3,-255.81283939891804,-84.90751407017657,-251.7775092749965,16000
4,-238.1452842617778,-112.57551017737565,-194.31818469080847,21000
5,51.520472537246164,184.6538330996603,64.68155010020399,26000
6,589.9264462797893,709.6983112414509,416.8840741379921,31000
7,1041.996883400551,1093.445893907639,1115.2559745107203,36000
8,1697.5384469230848,1733.4518463318227,1431.1026140783072,41000
9,1621.0667349434254,1447.8216936819092,1567.4387382480195,46000
10,2210.2797168911015,1491.390706078665,289.01297050764333,51000
11,2756.850131288201,2822.363245276431,2759.4080957471942,56000
12,2704.2174938188923,2710.769450989307,2725.16048414867,61000
13,2868.5652502254798,2929.550740484945,2871.312474600609,66000
14,3323.5906353625646,3332.733958167743,3245.08726355242,71000
15,3216.864872104834,3340.2159133018445,3181.6711221702153,76000
16,3350.650735128745,3477.6878397991904,3435.063190205908,81000
17,3554.3723077893696,3592.496000873463,3426.112442982735,86000
18,3640.04142894931,3703.946713712625,3716.222007196331,91000
19,3889.367849125202,3769.5764517859407,3802.8139979480725,96000
20,3996.1161797120894,4036.0393732756265,3813.2385418015247,101000
21,4478.363453199109,4418.3845270780375,4366.46920626433,106000
22,4460.4944307011765,4453.340805464204,4405.182715337232,111000
23,3599.5228891011952,3740.5357392547985,3836.0431761208874,116000
24,4372.543391224499,4144.2808531582,4446.309242465782,121000
25,4304.54234195041,4430.764618297106,4379.339072170485,126000
26,4279.658596521231,4318.895619060716,4412.411182108058,131000
27,4533.866571969057,4577.6622122888475,4515.677972025005,136000
28,4762.261662624276,4748.370072081152,4730.634155481232,141000
29,4721.483094326726,4676.138745118836,4791.661041385903,146000
30,4581.459149078717,4618.227769807178,4610.948463050554,151000
31,4735.858676845923,4613.949120149407,4606.924961428839,156000
32,4989.505834323535,5146.128644766528,5040.505070221368,161000
33,4896.095505776485,4853.405168320229,4891.599976607249,166000
34,5191.306110134481,5216.403608202134,5202.575037565632,171000
35,4799.1096632187955,4947.992745778214,4801.102203760337,176000
36,4999.202572809818,5045.399553491186,5027.239382079533,181000
37,4873.071924918903,4817.595562283696,4857.265404756367,186000
38,4745.158225495741,4803.680914034916,4808.710785554821,191000
39,4688.374734617033,4631.080722203304,4536.679028790672,196000
40,4722.180823951037,4761.9373613904845,4730.881834586684,201000
41,4776.082643188255,4788.840448732839,4828.57656735592,206000
42,5139.075079475544,5071.997203386349,4991.218420206855,211000
43,4705.205339388417,4671.75721868558,4671.462655305281,216000
44,5043.489476156333,5074.47417168147,5061.529188390491,221000
45,4689.455823852073,4674.878099435361,4693.91728045852,226000
46,4668.341795614286,4687.966844599038,4670.908096032671,231000
47,4777.1051040194325,4713.7031216935075,4776.681093257391,236000
48,4981.224353946631,4820.003722784274,4882.26669156228,241000
49,4771.316274663151,4786.800757083863,4818.335702738437,246000
50,4885.858650163011,4791.446046052759,4849.24509444998,251000
51,4993.042792806719,5054.987162972123,4958.292242013896,256000
52,4986.710736028432,5044.317018517518,4946.806812654958,261000
53,5163.607658147424,5077.3498249069835,4974.274512740872,266000
54,4968.395362307609,4957.4937779798975,5000.131927696979,271000
55,4827.076849132046,4823.313475699533,4879.181384681077,276000
56,4811.771923635479,4853.006930442737,4807.304995660859,281000
57,5024.26830439898,4991.940043723595,5021.410092691771,286000
58,4851.817625966497,4842.705129901432,4916.040963710004,291000
59,4626.024430705505,4565.969301834611,4475.37041178596,296000
60,4914.074254998725,4882.432130451886,4795.411914470626,301000
61,4935.4352186020715,4852.060650541762,4783.629057763845,306000
62,4819.359783653212,4973.313605083112,4776.51176319205,311000
63,4573.70718302116,4617.62115428017,4507.346675466973,316000
64,4841.579453065939,4868.877553762848,4712.336682809304,321000
65,4593.614408127713,4661.256312419096,4650.106260891385,326000
66,4626.129199311761,4648.663070685536,4777.062533111581,331000
67,4851.846448132992,4839.793566800625,4956.94143018815,336000
68,4835.322760841503,4835.700147148462,4917.588403092381,341000
69,4763.419713247437,4700.587047152467,4758.953502910004,346000
70,4465.705574850916,4616.27759663846,4563.940896489616,351000
71,4742.739811947911,4691.970659884637,4796.634734020641,356000
72,4758.713004536039,4738.43774916556,4768.341394563187,361000
73,4465.731466291106,4365.588053946329,4422.2775807165735,366000
74,4883.226414248928,4854.851092263047,4815.581630139283,371000
75,4576.460795433456,4538.138728085714,4486.297233375917,376000
76,4665.428650734064,4807.764039320315,4721.1497702155075,381000
77,4720.550141394702,4690.46642245038,4734.151206558167,386000
78,4786.349648864425,4669.856013008089,4684.62785576243,391000
79,4696.9260952773875,4634.92571244488,4662.2048324837315,396000
80,4762.942969171182,4816.53484221187,4768.8230732331185,401000
81,4811.100421653113,4939.087941723302,4824.582155065931,406000
82,4819.984920664106,4822.293164634169,4829.693316134641,411000
83,4719.618660285197,4786.491117951301,4655.608613587446,416000
84,4937.051310505072,4935.590207174262,4978.138597084213,421000
85,4801.547527467216,4833.1153515709975,4782.506820748624,426000
86,4766.035685649822,4724.364004989217,4776.4799850167565,431000
87,4968.7720201118045,4921.061966887785,4896.783477039282,436000
88,4969.526693801321,4899.705413832565,4947.989282251423,441000
89,4832.592582619527,4961.845628752509,4863.568006742683,446000
90,4855.835906622041,4784.108978464725,4822.492936593322,451000
91,4587.43095417298,4547.372815289538,4590.389709472369,456000
92,4725.729316190946,4760.51778105595,4692.732883205348,461000
93,4890.840266890096,4782.635387336723,4797.30866633255,466000
94,4777.407883335383,4739.329319273196,4710.19139326566,471000
95,4757.289509489268,4775.0126822644115,4768.613203601187,476000
96,4594.232975326028,4608.655800664774,4691.0859388510435,481000
97,4637.971986613324,4702.938838892574,4584.3758916200195,486000
98,4607.213130065001,4603.54481123557,4584.591516123812,491000
99,4635.059580360235,4562.319539931717,4645.269814599036,496000
100,4756.848727036739,4838.441157954761,4843.943550090001,501000
101,4690.957355525466,4675.221113451933,4757.450259307094,506000
102,4596.024136347303,4578.942943493183,4690.564295172113,511000
103,4668.999468386457,4699.31027673673,4748.681446350984,516000
104,4761.740292937811,4693.618734461468,4682.4952646385445,521000
105,4760.929457728733,4668.739334995243,4616.154283698896,526000
106,4631.031987231894,4662.960425258376,4722.27092601181,531000
107,4745.341560772065,4660.650065720229,4767.344093073242,536000
108,4706.4980702306575,4691.576913237877,4701.473016708761,541000
