Timestep, Average Length, Average Reward, Std
0,118.1,118.95278246705672,9.906250570398687
50,50.0,72.84917688657808,1.4760665509332187
100,52.3,75.66223396647167,4.990136865378929
150,59.8,98.56526295518375,39.56341063671062
200,58.3,99.65573970354183,33.86716974467556
300,40.8,57.535262689546286,10.660947591390718
350,55.3,89.67979009743047,34.189584935415375
400,86.9,170.40618107095568,24.782737030652115
450,83.3,156.18147390676856,3.807357034377557
500,78.7,140.39143559204746,2.9969086045248297
550,76.7,134.59719199727246,2.68218506067633
600,74.7,125.65351865361802,1.7225506109706832
650,70.4,117.3061807985973,1.4173277312942862
750,68.5,114.07009997503818,0.9863603086459186
800,100.5,245.91812069203598,191.35288999194574
850,65.4,111.21186078863732,1.1700851189516381
