Timestep, Average Length, Average Reward, Std
0,105.8,110.16104914450769,8.235017757203643
5242,50.4,20.86197208061737,0.27087564793246144
5243,81.7,52.23462212851537,0.9738477961776395
10493,43.0,12.64768498950588,0.1414196665200115
11105,55.9,28.166783500238374,0.45226210598066413
16105,72.9,42.92192848576037,0.5666119045641479
21339,37.2,8.366414725078375,0.19136776495216007
27195,39.6,9.57604787182218,0.20685441952832276
31142,40.3,9.783603390487736,0.14162700932441794
35974,39.2,9.23249966880193,0.1778330833243985
40600,29.9,5.201558054086567,0.16834358322092785
45363,30.6,5.6268958614494,0.2288098112918836
50228,36.8,8.265065280703604,0.1957069574185221
54515,82.7,47.7693016776046,0.538551736787816
59515,95.7,60.81594865180354,2.086112721084089
65354,252.0,221.90241068846336,17.425381780969577
70287,1000.0,987.8954689032611,0.37510674149169243
75791,289.8,255.3940532829409,0.9719063550782381
80500,773.7,791.1759443427115,193.10643490969085
85411,159.2,195.35026899537985,14.55975858780641
90025,150.9,295.47911755139614,0.8658755464433803
95268,91.9,146.12922782460316,65.78547427548928
99687,122.4,233.83117443888423,3.386082076195267
103924,165.5,321.33422732464834,49.331704288359695
109428,129.6,293.6169626776251,2.549719977273617
114335,142.5,298.83476066332094,1.7220809256675242
119129,86.1,153.71225808175126,2.551236127074011
123897,75.1,132.2307566054501,2.9023474455405056
128151,67.9,117.81419518248235,1.8157271777940152
133359,50.7,85.81160717012736,1.1495941737418418
138396,43.1,68.7529482866552,11.984582805567047
143291,95.2,199.75761520862244,0.6339869153758882
148452,43.9,73.42458490544529,1.7248979454774145
153718,49.5,85.20263499276413,3.649380482828258
158992,58.3,107.19529818574665,2.445494742543827
164053,70.4,140.480365792394,2.4992437140978985
168901,74.6,151.7604030616897,1.8673334640200152
173724,131.7,323.3947725815722,1.1343719836615493
179160,130.0,320.4068687540875,1.7239668154714396
184254,120.0,292.00003863190517,1.8363604430299068
188844,117.2,285.28272166141215,1.747692341798757
193712,121.2,296.5396284626408,0.7181847856967749
197870,122.0,294.3229015223135,4.297267402454525
202319,116.9,283.82601333557307,1.966430122993189
207238,118.3,285.6079675639897,2.002780330971319
212030,106.4,242.8443513634319,8.603252094819004
217861,117.5,280.9012778616654,1.6631096522059436
223140,116.4,276.5062162262403,1.9947890021950387
229437,112.2,262.1369716691639,3.7764250436093993
233766,113.5,257.1616589616622,1.7459859630967056
237863,110.1,254.0866148970178,2.1638233588826625
243442,110.5,254.1981808497745,1.6327662597276362
249099,111.5,250.0857369753666,1.880600460424322
254008,107.7,241.94350582299688,1.5918606002672515
258633,110.3,251.18244378928966,1.2060206169864083
263983,111.2,254.54362204855198,1.619148330121685
269098,111.2,253.28861192051508,0.6641928176596408
273080,111.3,254.33332229328636,1.3394468392231353
278159,111.9,256.18726848532685,1.4325194917197868
283586,109.6,251.16850573263474,1.4517841349387108
288429,109.5,249.49301635053203,1.5491322888658567
294529,109.4,249.1926991145333,1.2967581851323071
299462,109.3,247.74254384524517,1.6726008465433047
304968,110.4,250.16864567104935,1.7235820101860908
309786,111.1,251.18332849590197,1.4535486712569452
315831,110.5,252.1146072039221,1.3370628677743401
320684,108.3,246.15326782703727,1.2313652629168366
326172,107.7,244.7200564329096,1.5884551361493486
